,id,title,company,location,job_type,salary,url
0,f1a7f4fc726420f4,"Sr. Data Scientist- Risk Modeler, AVP - Hybrid",Citi,"Elk Grove Village, IL 60007",Full-time,"$93,200 - $139,800 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7UYL49yWBrrOlEWIsfJu1HwdoffaEv3MPqVgUrdyA2vyUhwRQxxQhnvVEbc3jbaHQyzMOn5LwfsgTPZvEGhCFyW_jSMurRFLHqKFogXzclM1UbYsOX5u4pnc-NfranMlx3y3g5crwLLgRqFzm-FG-kIm8CY3fKm-rCTYmcmbtbQgg2YAOORY4U8NnYp5UcW4NNz_tv7VK-1rJma63-BICJOs8lIHgHyEm9aWTW84xxpnvXcR--a4DQe0u_v-NXuCCpXpMLaPYrO-w58DppNB2GRtNpkAygz5eRV_0Vvporb3JXB5DGzC1UKVZQPCjeWmtrmzUCfdO7icSEDKhBvNF1TMN3IX7Iso-2Qx1soVazd6G91NUjxTMCM90NHNEmo9QOGLQw7qvFgcWPdX6ZC1zNEuRZT1SZu2ERYED6M9aSO2wtwIwJrNTC5wbOVE0KyiPLPdXSsQpmKV1O5Jz0b8_&xkcb=SoA7-_M3Nel6jdwlRp0LbzkdCdPP&p=0&fvj=0&vjs=3
1,79f1c9abf1954819,Principal Data Scientist (Algorithm),WALGREENS,"Deerfield, IL 60015",,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkkitoYsT710tvHNh-j77zAVLD25tV7Cs0YozZUvlkdEUQJljV4yh6BdkAGsfgRzS_PtWS0d4LUZQDuGXxvmBBwf1Q96cFKHREXdsK-tSAIbrEbZWAHwUpr_xMW7QkcfUeGcZshnrI261u3m38KCCyzRwsuldRGYwXhH2oX5Ae50XuQ8w5Svks4Pzc6OrV9KpSeAsKtn4wV2mDKMncqND3mrxCYMIPH2B7k6pQhx-kd230hTve1p9PJj3XoJWg_CXSSB1PYgnqQYcCRf1hiMkYp2EMAbtSYKs_pqlXQ90UIi17emdILgz5UHxUh_MfW_UQexdKr-8IGCF9pvk9rRCzmI1ID7qwUB6CxQJvLgxhtMe-dFopSinvNrANhv-tr-OAzE1bJwjWTd3YApbrs7tzloelY0bsJpyjYz28Ixd0lF6UvOAmAEKhXG0FaaulXcWpknaK7law3HvGusqcmbGI&xkcb=SoCP-_M3Nel6jdwlRp0KbzkdCdPP&p=1&fvj=0&vjs=3
2,a2c2b68ca8d6a565,Machine Learning Supervisor,Old Republic Title,"Hybrid remote in Minnetonka, MN",Full-time,Estimated $75.9K - $96.1K a year,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmyhHp29Mt7N5P2_HSRucKfKl_swRqaOxsemojvXH09EuLQA-NVp09BnfDH8n5lP_-W_FrerkjMTGlIjJWl2CCSbQmV-PdcmenisueWe38LBa5Yrm63xOf2OaFUt5m1EWk07ywN79e6JsSXJ8k85lZONv9VQSZ2XPC4l2sJsmA19vJHJux1bYSI-p86W06avfeI9Lv2wKM8B4f3GepFzO0V5QAiSDc5E-g7C-8CsLTgGgUIYkG0q6nz4-qSJx4CsJTcsAyYDbq6tVl7qcSTkWYEhT3lp2GTOsEDJXDyjrkQYi15H-IMZ-kcMTqwKfjg-SKpNTX_KhCfCzrmwT2Wl5z7ki5muJJ0hxL84_U-d0ZCVRs83TylZAdt-qZZuZMDZrFYIqzvffH_XZNRo-RKZhAo6FuCHPSoVHInyWVCJe_NoLbYqwbqhGFgq1brpeCIL3Cr0dW5457PzJdhvE4gPsAE03kD-ievB1bEpbrTBTqqzxZ8rEBli9IdpYia7UvbwvTuZsmMEoVfPqbOkw1SNyTFlrj8OAoFrhWPdhYMWWu2QmznldpInGXwy4BVtmmDuOPzXbyGn1B8n42eacXj9M4TXy9FJKFkzgZ9tICRucJIO9AHyXXcy9y_UgwzQQbR3O7G4sSmteMaA==&xkcb=SoAS-_M3Nel6jdwlRp0JbzkdCdPP&p=2&fvj=0&vjs=3
3,46883a8ae338078a,Data Scientist,Robert Half,"Portland, ME 04101 
(West Bayside area)",,Estimated $91.9K - $116K a year,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M3b5qaS82-NXnNgnxf8QK82k62jAt5-A1y8VAv2lnFsGgwGjYGV8V0r-43fS1q_NT-pY5fUOBYkDvQpj2Xfa3BP0KpUE62A5ikjE8AozpLDSDEmwLcNDj5c0iHqJbPsYAupebZwjx2fiMU99yMq0vwztgvbXC4WNFkdekUn9QPVLGjmtYo9ewjAAttBaezQMtiJRNgN237OLfroIR_8DG26qFRF-8AOBscC5XWeJhthIq62jYdL5U8yfrKE77u0TldJ1_mtR2T6dMi3gu9J-m0P72djiqzcoRo3iMV-prXJRTkvLm7A1eWtOC3PPEhEIA8tGnM4dU_8jDueuGp8Gh7OdSwSe0Sz5SGyVy-fxCjNtuJvZpbEDnxpnPrB_tmvPpixoRcUe7y969sN2Bni9cEw18dStic7PkA-iesIJfh1GSnUJFjFwXmBXJUIwnrQtvMkCbXYgMEnKUAgzbw2-UjhYed15dnqXcjlfdvev-XHcVvQAjrcpoEHjzVvTU7aZedXbzbrEZYBBxVNLXptidDSTAKA9d85cPzUXuD03ncj2&xkcb=SoCm-_M3Nel6jdwlRp0IbzkdCdPP&p=3&fvj=0&vjs=3
4,ca739b233c19204c,Data Scientist,Pacer Staffing,"Durham, NC 27709",Full-time,$39 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C9NbM5eTIyBy5lsQEfjp0LiR4ZnSOO0g4plUqowSZMmwKNhg9sK_ssyMkRY9ssskyTVY7ETgcZQTj2U2k6liIgk_h0phoUjh51V3lqnbkmCVkF2gLAjUjrIinK4w-iWgIGOnBIJkDkuKixxC2ZwVnJWLQdU7fxOxTtsZA6zQ2U7KJb1NQ-vHO8ujnceAWPmyFVtyvQQVmNJr3UXLhVZKwOFOeMATaevUJFtdXQjRqfMUQOkWBguZz1B13ROWLfBiQiLF69FFojkhnHl65pll9TFOjo7hMXI8R73KxtBBMw5m9e-IaIhqLtUOLn1mJmmCdzTspcG7l9t8QBbvQ-2ZzmB0bxYd10Q0FquXKKpDbuDDMQt10N9YyIwLuP8vObFyPHGAXcqhEdmFDxX6LhpqqWHWzhYRYl18-zFEQgiIScVqB_soXWce9Vxp7OapAvoD3PyYm3P06KPFV49rOoMHBH_fNQC8IZAH27C91SRhlhQ1PCTQDjM0mWnzQ5OZz4zIIYMoQ6-C11uqQG9vZkzmNDQk8GutEmaD8wE8NWu4dS-A==&xkcb=SoAo-_M3Nel6jdwlRp0PbzkdCdPP&p=4&fvj=1&vjs=3
5,aa07d442292209e5,Applied Research Mathematician,National Security Agency,"Fort Meade, MD",,"$137,873 - $183,500 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCdsM35la709ntTOFdsjLDrsb7m7isd9LTh5AyY_JTK7U2MpnONpx5XLAuWXw0rQ1cOV6dNduSy5B2wnX9JMUv49r3p8BOH9f3AGqagKwPT9ljdtUOX9NvfZaADAYnPBnHlZPaY1eAkVU89w04loThPiZzKbtGEePp4M2iXlX5L2CIHzsxBFR-d05tSJRbE7QW31gsjp9sI_XpsyDmoJfzOcsI0j4rGKDMraM1PbON86E0vX7n5uysIL6csQ8dFihK3gZUOa5HGsiXflgIygdUCmaMVysNHUuTNtdEBc2y1Mk5QOp8GE2HKeEKtfLx0NwgmE07HMgkO4emTV0iGe7kOiRSEVBcNZnDdforg7Hf_FFUaNymvqHhz9BTiswXfMBZuvn_-UgkCLFRDmIp85sMfjOkJeGBdmul8yUoaO6KddnqIgDXLwGSxUXd9tQ7rGMU3flQgPwngP9Q==&xkcb=SoCc-_M3Nel6jdwlRp0ObzkdCdPP&p=5&fvj=0&vjs=3
6,2d50017c66a9edd6,Comcast Machine Learning Engineer Co-op,Comcast,"Philadelphia, PA 19103",Full-time,$32 an hour,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZj-DGTHI1KLtRXrU9mG9a7F9uFO9CaXELfxYUWkVwHN95dED9vqTZaQ6Tg-LH7Sv0eyyRyQFEdID1TPYXBz2AMmGqf18hgtAnJw10KSEA4Y03msoMJMOb1N2CBjOGkX7VLiI7R6udcQDs2BLQDP0ixUVA6VxOIN_BSxJCHSLF8YaoF6Nm7tEnmFC_iFLFotYHQbgmO8EJwtfh9bcvoLWQB83c9GJ741B5ynHj3PQ3emGxmHP3fvQIUrzF3PRScqPto0CO95mzcFNwRD27HuBDnKutaBYu-HTOvcd7QxHMLihe38sK62klgFJNzX4o21H62LYKHxhjaxqWYf2hDOab2f7I8TK6yvA_9oSnKc9kJ2gCDUnFKClIUmNosAMzjsUT8d9QP6XDbhZzgTLcZ5SFGtHMJCKnVsn9GKZPurmD7CRnUuYNOWIB20HxF_OLrF2GoqFConb2KI9u5iy1P1oXo0AfFfOIhgmowdQe1XysdKS_91HG_SnvYx3ekL2nU77MmUj8HuJQt4lx6ySpzV0vXWPZ5XHO31Lc0iVDVLqhZNO4Vfxjoy5VmPHNQek0sdFdET8iLZ98cb6_b66Usy73XA4Zekxxe5n0H2FwW6oINHPx3Ln8IKfU4JIcew2_rens6q1ysVUrOV3dS1irT3nkJa9iU5qSSfurGzUCuZytWM5V2RXjCEbq9gp6vE1-hi54T5itaYWJPWXgIBY6l_OolxT9SHYOAKsXhiNIqNNb7YVHe3Q4bp13b_O339EbUXb5gW7iFoydLatrh8emn6er8EFZs1af1UpRD5axVr1qcE_L1o2VboIWoKKKi-YeFYJGipPY4LTg-fL6KczZCd_qSt31mo8_v-vRX_R-n7912xife2lELMB7IK76QZaMzm1aDgQHBz0zKRf7amtFslGHmEmmqxeoOutF0JBtASQ1tS4S6SrmJkjaWq_PD6nzMuqqMJJICaZp1EeTWn-Et0NZgGu83C4NcHVEIyHPEjOYzBSWqOyTBVCVcsFGpsS2FY0j5573VcgNGUBx28fmcfihpfz3H1LezkCW7p6DcJEYFtF8jxQ6XQcj9o0BPYONUzdWFbi4cj1P0Br7hvThkuLkkaGDRgxILHkEuoNTXYW2vXVEM6yRdJd-JsAPLTf4A0OTec036yyVQzZ9wZyKzQtC1B-lfyitbrrTAxxpdqhMXxtmm5keIVvNnlm6Dxf6aq0iA==&xkcb=SoAB-_M3Nel6jdwlRp0NbzkdCdPP&p=6&fvj=0&vjs=3
7,16a24ff6af26cd7d,Data Scientist,FAST GROWING TREES LLC,Remote,Full-time,"$80,000 - $120,000 a year",https://www.indeed.com/rc/clk?jk=16a24ff6af26cd7d&fccid=51790e0f312999a2&vjs=3
8,e718b9779c3fb433,Senior Data Scientist,Verikai Inc,Remote,Full-time,"$140,000 - $170,000 a year",https://www.indeed.com/company/Verikai-Inc/jobs/Senior-Data-Scientist-e718b9779c3fb433?fccid=22914251689fe0d9&vjs=3
9,8e2bcee9206c8a9e,Data Scientist,"Venesco, LLC",Remote,Full-time,"$91,562 - $110,268 a year","https://www.indeed.com/company/Venesco,-LLC/jobs/Data-Scientist-8e2bcee9206c8a9e?fccid=3207405afd0ca32f&vjs=3"
