id,title,company,location,job_type,salary,time_recorded,url
ab879edf06e639bc,"Data Scientist - R, Python, Java, Scala, SQL - US citizen/TS/SCI CI w poly req",Resiliency LLC,"Chantilly, VA",,Estimated $99.8K - $126K a year,2023-07-13 22:07:26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cltd6uxyKZUA0mlAqwrWOAqYzaNWMNQvrQPrmFJNyQddAtz7srjl1C04CmA54wNj0i19hx4sRhANSZJo-HqD6G5MttJ0a6BC9uiRXl3LU1V2aLAVq7mkq0VFspNcd3CahgAq_5z-LIl5Fgj2KjWiKhmGZMum997y5DC0gnq1mUE_lveu2KvQ9hd3BvSELMf9WNl6Jze833WRgfaAVP7qTI9uhmuAJ8ccuxv2J3Bf3sVBvFufacWQX6r8Jb443hLmQGuisUnudNd0y_Z0zNUv50RD-F_29V84-T8nEx84D0F-AZ8N6bae1TT8HAj52cFMqpiCcT4QERtvnAPcRO6op8RxUHUz4rrrhu-IS8HlzBxFEuPnHFnEfwGRVmNxBnT_Rv0tLbJrxo0hk8rAf1JqUOqbokOra1PdhR4T_fup8TBd9QcZUBNVqbskiMelcz-UPl--ogvIpIu_LlDX6gritFUtp4hsR6sFG7bDR1FCZQNdIjdTkjvu1EMhPe4wXNId-KidxSOwaSJx7JEzb24qqL7ZcHCDhUo7s4nAvj8y_xlxFyPcrvH2BBhryhLZ8XofxIIr4OgE8nwj6Zs_9pseKluLZmPWmUbrSU16gk5czqqXhup_keSvmuqDOazlNcmS3ydJ0yEq6N5sDWpra_gulQCLp3I1BKA0A=&xkcb=SoDn-_M3NpRQ8qwfXJ0LbzkdCdPP&p=0&fvj=0&vjs=3
8ca71e3235f42d17,Data Scientist,Hire IT people,"Bentonville, AR 72712",,,2023-07-13 22:07:32,https://www.indeed.com/company/hire-IT-people/jobs/Data-Scientist-8ca71e3235f42d17?fccid=339fc89548d64eee&vjs=3
80a635c09cbeca31,Data Scientist,Upen Group Inc,"Hybrid remote in Irving, TX 75038",,,2023-07-13 22:07:38,https://www.indeed.com/company/Upen-Group-Inc/jobs/Data-Scientist-80a635c09cbeca31?fccid=ab283d08aaa89866&vjs=3
1498d97bf5be4769,Data Scientist,My IT LLC,"Fort Meade, FL 33841",,,2023-07-13 22:07:44,https://www.indeed.com/company/My-IT-LLC/jobs/Data-Scientist-1498d97bf5be4769?fccid=81e7b2d328e360d8&vjs=3
af5ddfb93c43cddf,Data Scientist,LT Technology Services,Arizona,,Estimated $96.4K - $122K a year,2023-07-13 22:07:48,https://www.indeed.com/rc/clk?jk=af5ddfb93c43cddf&fccid=4ed03476a1620afb&vjs=3
6a447366138b311e,Data Scientist – Python – REMOTE WORK 44255,"PRIMUS Global Services, Inc","Remote in Minneapolis, MN",,Estimated $100K - $127K a year,2023-07-13 22:07:52,https://www.indeed.com/rc/clk?jk=6a447366138b311e&fccid=fab19a82e69a8358&vjs=3
58a5b0ab0c04968d,Data Scientist - 300269,Grainger,"Remote in Lake Forest, IL 60045",,Estimated $86.3K - $109K a year,2023-07-13 22:07:56,https://www.indeed.com/rc/clk?jk=58a5b0ab0c04968d&fccid=68bc43ebf2f50281&vjs=3
bc873f5bca6aa2a3,Staff Data Scientist,Salesforce,"Seattle, WA",,,2023-07-13 22:08:02,https://www.indeed.com/rc/clk?jk=bc873f5bca6aa2a3&fccid=4027cfd917e1ee29&vjs=3
2351b7329c4bcb2d,Data Scientist,Ford Motor Company,"Hybrid remote in Dearborn, MI 48124",,Estimated $112K - $142K a year,2023-07-13 22:08:06,https://www.indeed.com/rc/clk?jk=2351b7329c4bcb2d&fccid=761c44c17d636bfe&vjs=3
910ea3acb68fba6d,Data Scientist | Remote-US,"IXIS, LLC","Remote in Burlington, VT 05401",,Estimated $102K - $130K a year,2023-07-13 22:08:11,https://www.indeed.com/rc/clk?jk=910ea3acb68fba6d&fccid=d81bbfe26fad932d&vjs=3
