,id,title,company,location,job_type,salary,url
0,9ea98a76c45d7ea5,Data Scientist,Jerry,Remote in California,Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=9ea98a76c45d7ea5&fccid=204c8e2f615ab5bb&vjs=3
1,6dad5271166f52f0,Data Scientist,Munich Re America,"New York, NY",,"$89,600 - $131,300 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=6dad5271166f52f0&fccid=d4448c192a012f32&vjs=3
2,7632768fa67d6872,Data Scientist,DLCP,"Washington, DC 20024 
(Southwest Waterfront area)",Full-time,"$80,783 - $103,333 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=7632768fa67d6872&fccid=832c358f743ad4eb&vjs=3
3,f2ee3a058d8dd75c,Data Scientist,Katalyst Healthcares & Life Sciences Inc,"Durham, NC 27701",Contract,,https://www.indeed.comhttps://www.indeed.com/company/CGXP-Consulting-LLC/jobs/Data-Scientist-f2ee3a058d8dd75c?fccid=0ab1a5a5ac1b1155&vjs=3
4,4ea08fd03536b97b,"Data Scientist, Global Mile",Amazon.com Services LLC,"Bellevue, WA",Full-time,"From $111,600 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=4ea08fd03536b97b&fccid=fe2d21eef233e94a&vjs=3
5,e718b9779c3fb433,Senior Data Scientist,Verikai Inc,Remote,Full-time,"$140,000 - $170,000 a year",https://www.indeed.comhttps://www.indeed.com/company/Verikai-Inc/jobs/Senior-Data-Scientist-e718b9779c3fb433?fccid=22914251689fe0d9&vjs=3
6,c80dfbb4a9e1d6da,"Data Scientist, Jr.",Altamira,"Fort Bragg, NC",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c80dfbb4a9e1d6da&fccid=03c5ff78e1523a44&vjs=3
7,826e73ddd2b65789,Data Scientist,Iron EagleX,"Fayetteville, NC 28307",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=826e73ddd2b65789&fccid=daf99aa6ad2b5d34&vjs=3
8,a0f7ab6aadb82c21,Data Scientist,Upen Group Inc,"Hybrid remote in Irving, TX 75038","Full-time
+1","$40,000 - $63,726 a year",https://www.indeed.comhttps://www.indeed.com/company/Upen-Group-Inc/jobs/Data-Scientist-a0f7ab6aadb82c21?fccid=ab283d08aaa89866&vjs=3
9,bf547ac1dc23c5ca,Data Scientist,Spin Master Ltd,"Remote in Los Angeles, CA 90016",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=bf547ac1dc23c5ca&fccid=317c67de40e5622a&vjs=3
10,14169b561f3b5fab,Data Scientist,"World Wide Technology Holding, LLC","Remote in St. Louis, MO 63102",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=14169b561f3b5fab&fccid=a3824b5f2c11b45a&vjs=3
11,1a838f50d8bc0a89,Data Scientist,Security Benefit,"Topeka, KS 66606",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=1a838f50d8bc0a89&fccid=55e48a67e038c397&vjs=3
12,1334cea2a459978c,Data Scientist,Parsons,Remote,Full-time,$24.18 - $42.31 an hour,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=1334cea2a459978c&fccid=e8f998ddd15bac9c&vjs=3
13,ca739b233c19204c,Data Scientist,Pacer Staffing,"Durham, NC 27709",Full-time,$39 an hour,https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C9NbM5eTIyBy5lsQEfjp0LiR4ZnSOO0g4plUqowSZMmwKNhg9sK_ssyMkRY9ssskyTVY7ETgcZQTj2U2k6liIgk_h0phoUjh51V3lqnbkmCVkF2gLAjUjrIinK4w-iWgIGOnBIJkDkuKixxC2ZwVnJWLQdU7fxOxTtsZA6zQ2U7KJb1NQ-vHO8u8dYH-uHp-k32JS1fIqhL1I9ByyJ2WE28Z1uzJY5a1HmbcgpDM2zXOTXg06b8kBv2g6JfhiN6cf_6ahvlT3maCZh0wPUILozh_2WIMo226vT8t2_XhRRFqtviSOyHHZKtoKR5oW6FUE5Jb-Zg3vNVZFaa-5rVEE31a9VqzquFV1nubivwqnNNYstp0TyXIl4f1Xp4ouSqzV7_717a9Y0BHk30Iyu6ITFo9dXiRqvRLHyQDE7mS8oZwxGioGd5nTDbxcMisRwbJ9ykEUcEJaOyTetXS0032wY7BCVSloERNi4U2YtFTeBYIUTXGUum3tvMa0fujmMrZ81tIu7xafc3SMEtH00kzRSfLstQpVwrKKS67wfXdS0pQ==&xkcb=SoBR-_M3NXrFiUQdjp0GbzkdCdPP&p=13&fvj=1&vjs=3
14,bc7957eb4e1790c7,Data Scientist,Northeastern University,"Boston, MA 02115 
(Fenway area)",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=bc7957eb4e1790c7&fccid=a9383e8362da1c50&vjs=3
15,67a5c24fefedf59d,Data Scientist,INADEV,Remote,Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=67a5c24fefedf59d&fccid=fa7b532d71fd974a&vjs=3
16,3e88548de2923a75,Data Scientist,Radiance Technologies,"Tampa, FL",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=3e88548de2923a75&fccid=88e8a91c8a5af093&vjs=3
17,da63c9ec4b9a57f9,Senior Data Scientist,Etsy,"Remote in Brooklyn, NY 11201",Full-time,"$130,000 - $164,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=da63c9ec4b9a57f9&fccid=9ecb91618c39a24f&vjs=3
18,db83b89e363b215b,"Data Scientist, People Analytics","NexRep, LLC","Remote in Portland, ME",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=db83b89e363b215b&fccid=717553329a4afec0&vjs=3
19,eef1a6c63780150f,Data Scientist,TRIPLE S STEEL,"Houston, TX 77026 
(Eastex - Jensen area)",Full-time,"$75,000 - $95,000 a year",https://www.indeed.comhttps://www.indeed.com/company/Intsel-Steel-Fort-Worth/jobs/Data-Scientist-eef1a6c63780150f?fccid=b40a96c0d7c4b1e1&vjs=3
20,83ba172d26cedb07,Data Scientist,Strategi Consulting,"Hybrid remote in Colorado Springs, CO 80903",Full-time,"From $95,000 a year",https://www.indeed.comhttps://www.indeed.com/company/Strategi-Consulting/jobs/Data-Scientist-83ba172d26cedb07?fccid=b08d6deaf71070b5&vjs=3
21,a046ba153a5ba04a,Senior- Data Scientist,AT&T,"Dallas, TX",Full-time,"$117,128 - $254,300 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=a046ba153a5ba04a&fccid=25b5166547bbf543&vjs=3
22,bb61cca8c13df816,Data Scientist,Galen College of Nursing,"Hybrid remote in Louisville, KY 40207",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=bb61cca8c13df816&fccid=ad21345fe4197b20&vjs=3
23,2b0d6c81a8a180ed,Data Scientist - Specialsterne,Cummins Inc.,"Columbus, IN 47202",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=2b0d6c81a8a180ed&fccid=36ccedc5bfdf19b1&vjs=3
24,48b4b591351c92ed,Data Scientist,QinetiQ US,"McLean, VA",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=48b4b591351c92ed&fccid=dd616958bd9ddc12&vjs=3
25,eccd2e1276072a0d,Data Scientist - Feed (Senior),Nextdoor,"San Francisco, CA 
(South of Market area)",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=eccd2e1276072a0d&fccid=38eca8156471a9d2&vjs=3
26,2864abbfb4e3dbe3,Sr. Data Scientist,National Insurance Crime Bureau,"Des Plaines, IL 60018",Full-time,"$119,450 - $165,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=2864abbfb4e3dbe3&fccid=4a4379e5535ab64c&vjs=3
27,3a4677b53ae9b6cc,Principal Data Scientist,CoreLogic,"San Diego, CA 92131 
(Scripps Ranch area)",Full-time,"$130,000 - $180,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=3a4677b53ae9b6cc&fccid=67e7d62a7f3782fd&vjs=3
28,b761b6aad7cb17ab,Sr Data Scientist,Voloridge Investment Management,"Jupiter, FL 33477",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=b761b6aad7cb17ab&fccid=fccd85f1ee696c5b&vjs=3
29,b84917b5a9aef6c4,Sr Data Scientist - PDPO,TikTok,"San Jose, CA",,"$165,000 - $240,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=b84917b5a9aef6c4&fccid=caed318a9335aac0&vjs=3
30,a398c42bd042c5a1,Data Scientist - Application Development,CVS Health,"New York, NY",Full-time,"$70,000 - $140,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=a398c42bd042c5a1&fccid=be3b11aa573faee7&vjs=3
31,e08bd35c705cbf21,Humanities Data Scientist,US National Endowment for the Humanities,"Washington, DC 20024 
(Southwest Federal Center area)",Full-time,"$112,015 - $172,075 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=e08bd35c705cbf21&fccid=dd616958bd9ddc12&vjs=3
32,b221e76be9e210c8,"Research Scientist, AI Algorithms - New College Grad 2023",NVIDIA,"Santa Clara, CA",Full-time,"$156,000 - $247,250 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=b221e76be9e210c8&fccid=c267f29f0f85e8b8&vjs=3
33,7654ca0ee7eba1f1,BHJOB15656_20093 - Senior Data Scientist,Myticas Consulting,"Hybrid remote in Chicago, IL",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=7654ca0ee7eba1f1&fccid=0f0c4eace106057a&vjs=3
34,4cb25907816d0eeb,"AIML - Sr Data Scientist, AIML Data",Apple,"Seattle, WA",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=4cb25907816d0eeb&fccid=c1099851e9794854&vjs=3
35,73cf8cc368b6ad51,2024 Data Science Recent Grad Positions – Cat Digital,Caterpillar,"Chicago, IL 60622 
(West Town area)",Full-time,"$75,900 - $141,456 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=73cf8cc368b6ad51&fccid=d723225da214c842&vjs=3
36,46528e5c6567ee39,Data Scientist,KBR,"Houston, TX 77002 
(Downtown area)",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=46528e5c6567ee39&fccid=cbfa56f19cc95796&vjs=3
37,a5b7e65b5af9794c,Staff Data Scientist- Fraud,Integral Ad Science,"Hybrid remote in Chicago, IL",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=a5b7e65b5af9794c&fccid=1dc32badf02d6835&vjs=3
38,d419f2c5dbf33c67,"Data Scientist, Senior",Booz Allen Hamilton,"Hybrid remote in Washington, DC",Full-time,"$93,300 - $212,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=d419f2c5dbf33c67&fccid=4e041af1d0af1bc8&vjs=3
39,4a6e089d0a373524,Healthcare Data Scientist - Analytics,University of Maryland Medical System,"Linthicum Heights, MD",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=4a6e089d0a373524&fccid=6ee5d9497b00b890&vjs=3
40,1fad4311244acbce,Data Analyst,QinetiQ US,"Washington, DC",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=1fad4311244acbce&fccid=dd616958bd9ddc12&vjs=3
41,66a4b482f8016b8d,Sr. Data Scientist - Machine Learning,"Shoptrue, Inc.",Remote,,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=66a4b482f8016b8d&fccid=8df0cf48112ca907&vjs=3
42,15f3fe50281d8497,Data Scientist,US Farm Credit Administration,"Sacramento, CA",Full-time,"$76,203 - $164,577 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=15f3fe50281d8497&fccid=dd616958bd9ddc12&vjs=3
43,a68b16373d24f903,Data Scientist,Leidos,"Aurora, CO 80011 
(Norfolk Glen area)",Full-time,"$78,000 - $162,000 a year",https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRlnlqYrgdvb34NvM44_B6zYDyQaKCCmvXagg4vRmwOpR8lUXweGMstTwYfabilR68JqzfeG56aX6uCOSlWnVi8ihDYuHs6Oyh_nIpdq7SFO8BGZMmvnWAqe90zIk3kmLQBy_P16Agt8HiP3LsKeCsZdEb43SnhHxHTcLd70m2A3fARIU9CppuvTRNad1VEN1NfT7uQvaws-iKcNKv_lr-v9mLpdoT8y25oQqqrO5S8VWg7AkESKSMxaiwvTn2cEh-Fh7DYlTu0gyO7UXYFltkWeTTYgRPyFcxkveVlfS1eSnYMfxAcP9FueQ-yjaEps285U0L1aWpNWWZrLXvlAzty1Y33Wn_6teH3BV2Rvgbyle8bWdhBW7nC0UHOWRus-UYVb7eZChbidiuJNJ48l2RIU_WSiycAJ6MubFIg0JKSz81pj7BMkE-HutkvWpkum3M4svddOF0M1tDD86-5E7jXRbqEj7i163s7qOyF5QLmDvahr4mo7QcuA7zPqJkUGaLXpIpNVun_KFbEY0N3xLEN59KJJ-aW39MA2VROwjS1huZLsu171BQCpXUSrnV38FlEqj64bhPGgE&xkcb=SoBX-_M3NXrfsHwdqx0GbzkdCdPP&p=13&fvj=0&vjs=3
44,c7a9e92e82653eca,Data Forecaster,QinetiQ US,"Washington, DC",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c7a9e92e82653eca&fccid=dd616958bd9ddc12&vjs=3
45,afe71224ad1ebb4e,Senior Data Analyst,"Perficient, Inc","Denver, CO 80202 
(Union Station area)",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=afe71224ad1ebb4e&fccid=7affa64765ffaf8f&vjs=3
46,cabcf02ce7bdc95d,Data Scientist,Peraton,"Linthicum, MD 21090",Full-time,"$146,000 - $234,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=cabcf02ce7bdc95d&fccid=7dc8be9efe945d3a&vjs=3
47,950f15dacf905f6d,Head of Data,Calendly,"Remote in Atlanta, GA 30363",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=950f15dacf905f6d&fccid=88e1dcd0cd0bffc1&vjs=3
48,2ab1be2c36ed1cb7,Data Scientist - Betthauser Neuroimaging Lab,University of Wisconsin–Madison,"Madison, WI 53706",Full-time,"$50,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=2ab1be2c36ed1cb7&fccid=22b1d1aaa50a1a45&vjs=3
49,c05fa135c3d1562a,Data Scientist I,Navy Federal Credit Union,"Vienna, VA 22180",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c05fa135c3d1562a&fccid=4ed6ffc68430216f&vjs=3
50,4c8649b232f94e67,Data Science Analyst,AdventHealth,"Orlando, FL 32803 
(North Orange area)",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=4c8649b232f94e67&fccid=8774cb43672c6306&vjs=3
51,ef3dbfdc380c6446,Sr Data Scientist-AI/ML (remote),MultiPlan Inc.,Remote,,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=ef3dbfdc380c6446&fccid=67346e7cd00890bf&vjs=3
52,a0431b97e2fe948e,"Senior Data Scientist / Machine Learning Engineer – Contract Role, Remote",Precision Technology,Remote,Contract,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=a0431b97e2fe948e&fccid=7ae9cd9b3818f663&vjs=3
53,da890100b30a1533,Senior Machine Learning Scientist (USA REMOTE),PlagScan,Remote,Full-time,"$108,308 - $180,514 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=da890100b30a1533&fccid=3243257922dae709&vjs=3
54,247bfa65f80f54d0,Entry Level Associate Scientist: Data Review,Eurofins USA BioPharma Services,"Lancaster, PA",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=247bfa65f80f54d0&fccid=da33f48dbeb2e889&vjs=3
55,4d83f5345ff14705,"Senior Data Analyst - Excel, SQL, Tableau",Shields Health Solutions,"Hybrid remote in Boston, MA",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=4d83f5345ff14705&fccid=1b2d1d9183c32d57&vjs=3
56,27937fd96e93c0e1,Machine Learning Engineer,Cranial Technologies,"Remote in Tempe, AZ",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=27937fd96e93c0e1&fccid=1ccddb322c2f4125&vjs=3
57,afee10ec1be9cb6c,Biochemistry Scientist- (Entry Level) Data Review,Eurofins USA BioPharma Services,"Lancaster, PA",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=afee10ec1be9cb6c&fccid=da33f48dbeb2e889&vjs=3
58,85bcc97c4dfe80c1,Manager Data Scientist,Johnson & Johnson,"New Brunswick, NJ",,"$95,000 - $145,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=85bcc97c4dfe80c1&fccid=0bed8e17bc113980&vjs=3
59,66b40ace8621f199,Data Reporting Specialist(SQL)/Data Scientist W2 only,CO,Remote,Contract,$33 - $35 an hour,https://www.indeed.comhttps://www.indeed.com/company/co/jobs/Data-Scientist-66b40ace8621f199?fccid=7c2d5b7088271f58&vjs=3
60,05eddb845caf511b,Senior Data Analyst - Gaming,OPTX,"Hybrid remote in Las Vegas, NV 89148",Full-time,"$90,000 - $140,000 a year",https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DdLn5tXN_RiyJSiFodarGZFJKa8s6F6AK0THPBWp05MQGgi9RPuRWK3pRFSJ83MsXV-IDTlgQNnD2-dATQAqdKiWdHPFdBbqcaMiCk2xOBUd7RItwlhzNjBRftBQGcZfOamxA_luS1ix77M4BoBAoujrfLsf5U5nmcEluDQySmPC2RdsnSXAy5sbKVXewePL6tTaNebOP-tkQux4_MdI0fO2dx7B0lwKBuSxl4AZ7gTQIbyI2bWnUU2VNtXncz9HrRs_hGf2FXNlAkgTbB-gRv_zVWOd1FiGxhWjnEJKjF4zlR-4_439ERm-58cgCTI-Efj4c5eOUjGtZOXqJY6VoB81ZjwrJzME1QNK8DBnEYOwCTAt9FJqTZMDND7DD_KXvxJe9FLp7D_t_oEP7aPWplqtgXwn8S9asdUEzpBOIk6VNaIpuejbJvC3UIQu-pG6B_8Wx8yhVlpgngIp_v0XNgYG12BmYhItICBBd-68z1XQd6SjGRCJ9VVN5woNrfp48c1_XMs6WDmJCFzwmQH36hJZQu4z6pTqY=&xkcb=SoAJ-_M3NXrYZg2NtZ0JbzkdCdPP&p=0&fvj=1&vjs=3
61,c53911c206ef8ce2,"Senior Data Analyst – Contract Role, Remote",Precision Technology,Remote,Contract,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c53911c206ef8ce2&fccid=7ae9cd9b3818f663&vjs=3
62,c27bc1b4557408a9,Azure Machine Learning,Better Future Solutions Inc,Remote,Contract,$40 - $50 an hour,https://www.indeed.comhttps://www.indeed.com/company/DIVFINITE-Inc./jobs/Machine-Learning-Engineer-c27bc1b4557408a9?fccid=f6e8e3cbd3561a1f&vjs=3
63,990b021136fb5012,Comcast Network Data Science (CONNECT) Co-op,Comcast,"Philadelphia, PA 19103",,$32 an hour,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=990b021136fb5012&fccid=ea25315ee9da22e5&vjs=3
64,65bed6ebde3aa565,Health Science Data and Policy Analyst,"GAP Solutions, Inc.","Bethesda, MD 20810",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=65bed6ebde3aa565&fccid=0bc8a6533b9d1918&vjs=3
65,fdfb589053d29918,Data Scientist - Full Performance (Current TS/SCI w FSP Required),Eleccion LLC,"Chantilly, VA",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=fdfb589053d29918&fccid=f7f7d11c683cf636&vjs=3
66,54849b8deeb58fb9,Machine Learning Engineer,NVIDIA,"Santa Clara, CA",Full-time,"$132,000 - $264,500 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=54849b8deeb58fb9&fccid=c267f29f0f85e8b8&vjs=3
