,id,title,company,location,job_type,salary,url
0,80b9309315126177,Education Data Scientist,,"Pasadena, CA",Full-time,"$110,000 - $150,000 a year",https://www.indeed.com/rc/clk?jk=80b9309315126177&fccid=dd616958bd9ddc12&vjs=3
1,e1fc69199481f0a9,Data Scientist III,Prudent Technology,Remote,Full-time,"$125,000 - $150,000 a year",https://www.indeed.com/rc/clk?jk=e1fc69199481f0a9&fccid=ebde02e0fce0f652&vjs=3
2,15aaa9050d486064,Data Scientist,MASS MUTUAL FINANCIAL GROUP,"Boston, MA",,"$121,800 - $159,800 a year",https://www.indeed.com/rc/clk?jk=15aaa9050d486064&fccid=430cffbf1c607717&vjs=3
3,ff1be6d86a1eb4a7,Bioinformatics & Data Scientist,"Infinity Bio, Inc.","Baltimore, MD",Full-time,"$98,000 - $118,000 a year","https://www.indeed.com/company/Infinity-Bio,-Inc./jobs/Data-Scientist-ff1be6d86a1eb4a7?fccid=056a3bfb7c18b42b&vjs=3"
4,cca8a90974f634b2,Data Scientist,Noble Drilling Services Inc.,"Sugar Land, TX",Full-time,Estimated $115K - $146K a year,https://www.indeed.com/rc/clk?jk=cca8a90974f634b2&fccid=aa483cf5a05a6d11&vjs=3
5,46519847a738be58,Data Scientist - Senior Associate,"JPMorgan Chase Bank, N.A.","Chicago, IL",Full-time,,https://www.indeed.com/rc/clk?jk=46519847a738be58&fccid=aaf3b433897ea465&vjs=3
6,feaa98fcbeabe5bd,Sr. Data Analyst,State Farm,"Hybrid remote in Bloomington, IL 61701",Full-time,,https://www.indeed.com/rc/clk?jk=feaa98fcbeabe5bd&fccid=d2310af9b3bb8585&vjs=3
7,ec2fbc335980ad79,Deep Learning Engineer,Cyberjin,Remote,Full-time,Estimated $121K - $153K a year,https://www.indeed.com/rc/clk?jk=ec2fbc335980ad79&fccid=74a4b2141032dade&vjs=3
8,f011232b9b336665,Computer Vision Data Scientist,Apple,"Cupertino, CA",,,https://www.indeed.com/rc/clk?jk=f011232b9b336665&fccid=c1099851e9794854&vjs=3
9,b03808ea0ba620d7,Staff Software Engineer - Data Science,The Walt Disney Company (Corporate),"Seattle, WA",,"$149,240 - $200,200 a year",https://www.indeed.com/rc/clk?jk=b03808ea0ba620d7&fccid=4ed80f3a97849f22&vjs=3
10,835447a45f59f7df,Machine Learning Infra Engineer,Cyberjin,Remote,Full-time,Estimated $112K - $142K a year,https://www.indeed.com/rc/clk?jk=835447a45f59f7df&fccid=74a4b2141032dade&vjs=3
11,f402fd56f7a9e8b9,Data Scientist Advisor,FedEx Services,"Collierville, TN",,Estimated $110K - $139K a year,https://www.indeed.com/rc/clk?jk=f402fd56f7a9e8b9&fccid=2ae04b97d8829e58&vjs=3
12,ae8cac61c7944548,"Data Scientist, Product Analytics - Machine Learning",Facebook App,"Bellevue, WA",,"$165,000 - $232,000 a year",https://www.indeed.com/rc/clk?jk=ae8cac61c7944548&fccid=ba07516c418dda52&vjs=3
